Rank,Name,Stars,URL,Description
1,freeCodeCamp/freeCodeCamp,425708,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
2,codecrafters-io/build-your-own-x,409865,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.
3,sindresorhus/awesome,391473,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics
4,EbookFoundation/free-programming-books,365009,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books
5,public-apis/public-apis,361143,https://github.com/public-apis/public-apis,A collective list of free APIs
6,kamranahmedse/developer-roadmap,333736,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,jwasham/coding-interview-university,324225,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.
8,donnemartin/system-design-primer,315870,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,996icu/996.ICU,274016,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
10,vinta/awesome-python,254905,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources."
